company_id,allocated_hours,company_size
1,0.0,enterprise
2,0.0,midsize
3,0.0,enterprise
4,0.0,midsize
6,0.0,enterprise
7,0.0,enterprise
8,0.0,enterprise
9,1.0,startup
10,0.0,midsize
11,0.0,midsize
12,0.0,enterprise
13,1.0,midsize
14,0.0,enterprise
15,0.0,midsize
16,1.0,startup
17,0.0,midsize
18,1.0,startup
19,0.0,enterprise
20,0.0,midsize
21,0.0,enterprise
22,0.0,midsize
23,1.0,enterprise
24,0.0,enterprise
25,1.0,enterprise
26,1.0,startup
27,0.0,midsize
28,1.0,startup
29,1.0,startup
30,0.0,midsize
31,0.0,enterprise
32,0.0,enterprise
33,1.0,startup
34,0.0,midsize
35,0.0,midsize
36,1.0,startup
37,1.0,startup
38,0.0,midsize
39,1.0,startup
40,0.0,midsize
41,0.0,midsize
42,0.0,enterprise
43,0.0,enterprise
44,1.0,startup
45,1.0,enterprise
46,0.0,enterprise
47,0.0,midsize
48,1.0,startup
49,0.0,midsize
50,1.0,startup
51,1.0,startup
52,1.0,startup
54,0.0,midsize
55,0.0,enterprise
56,0.0,enterprise
57,0.0,midsize
58,0.0,midsize
59,1.0,startup
60,1.0,startup
61,0.0,midsize
62,1.0,midsize
63,0.0,midsize
64,0.0,enterprise
65,0.0,midsize
66,0.0,midsize
67,0.0,midsize
68,1.0,startup
69,1.0,startup
70,0.0,midsize
71,1.0,startup
72,0.0,midsize
73,1.0,enterprise
74,1.0,startup
75,1.0,startup
76,1.0,startup
77,1.0,startup
78,0.0,midsize
79,0.0,midsize
80,0.0,enterprise
81,0.0,midsize
82,0.0,midsize
83,0.0,enterprise
84,1.0,startup
85,1.0,startup
86,1.0,startup
87,0.0,enterprise
88,0.0,midsize
89,1.0,startup
90,0.0,midsize
91,1.0,startup
92,0.0,midsize
93,0.0,midsize
94,0.0,midsize
95,1.0,startup
96,0.0,midsize
97,0.0,midsize
98,1.0,startup
99,1.0,startup
100,0.0,enterprise
101,0.0,enterprise
102,0.0,midsize
103,1.0,startup
105,0.0,enterprise
106,0.0,enterprise
107,0.0,midsize
108,1.0,startup
109,1.0,startup
111,0.0,midsize
112,1.0,startup
113,1.0,startup
114,0.0,midsize
115,1.0,startup
116,0.0,enterprise
117,1.0,enterprise
118,0.0,enterprise
119,0.0,midsize
120,0.0,midsize
121,0.0,midsize
122,0.0,midsize
123,1.0,startup
124,1.0,midsize
125,1.0,startup
126,0.0,midsize
127,1.0,startup
128,1.0,startup
129,1.0,startup
130,0.0,midsize
131,1.0,startup
132,0.0,enterprise
133,0.0,midsize
135,0.0,midsize
136,1.0,startup
137,0.0,enterprise
138,0.0,midsize
139,1.0,enterprise
140,1.0,startup
141,0.0,midsize
142,0.0,midsize
143,0.0,enterprise
144,0.0,midsize
145,0.0,midsize
146,1.0,startup
147,1.0,startup
148,0.0,midsize
149,0.0,midsize
150,1.0,startup
151,0.0,enterprise
152,0.0,enterprise
153,1.0,startup
154,0.0,midsize
155,1.0,startup
156,0.0,midsize
158,0.0,midsize
159,0.0,enterprise
160,0.0,enterprise
161,1.0,startup
162,1.0,enterprise
163,1.0,startup
164,1.0,startup
165,0.0,midsize
166,0.0,midsize
167,0.0,enterprise
168,0.0,enterprise
169,1.0,startup
170,0.0,enterprise
171,1.0,startup
172,1.0,midsize
173,1.0,startup
174,1.0,enterprise
175,1.0,startup
176,1.0,startup
177,0.0,midsize
178,0.0,enterprise
179,0.0,enterprise
180,1.0,enterprise
181,0.0,enterprise
182,1.0,enterprise
184,1.0,startup
185,0.0,enterprise
186,0.0,midsize
187,0.0,midsize
188,1.0,startup
189,0.0,enterprise
190,1.0,startup
191,0.0,enterprise
192,1.0,startup
193,1.0,startup
194,0.0,enterprise
195,1.0,startup
196,1.0,startup
197,1.0,midsize
198,0.0,enterprise
199,1.0,startup
200,1.0,startup
201,1.0,enterprise
202,0.0,enterprise
203,0.0,midsize
204,1.0,startup
205,1.0,startup
206,1.0,startup
207,1.0,startup
208,0.0,midsize
209,1.0,startup
210,0.0,midsize
211,0.0,midsize
212,0.0,midsize
213,1.0,startup
214,0.0,enterprise
215,0.0,enterprise
216,0.0,enterprise
217,1.0,startup
218,1.0,startup
219,0.0,enterprise
220,0.0,midsize
221,1.0,startup
222,0.0,midsize
223,0.0,midsize
224,0.0,enterprise
225,1.0,startup
226,0.0,enterprise
227,1.0,startup
228,0.0,midsize
229,0.0,midsize
230,1.0,startup
232,0.0,midsize
233,0.0,enterprise
234,1.0,midsize
235,0.0,enterprise
236,0.0,enterprise
237,0.0,midsize
238,0.0,enterprise
239,1.0,startup
240,1.0,startup
241,0.0,enterprise
243,1.0,startup
244,0.0,midsize
245,0.0,midsize
246,0.0,enterprise
247,0.0,midsize
248,0.0,midsize
249,0.0,midsize
250,0.0,midsize
251,0.0,midsize
252,0.0,enterprise
253,0.0,midsize
254,1.0,startup
255,1.0,startup
256,0.0,enterprise
257,1.0,enterprise
258,1.0,startup
259,1.0,startup
260,1.0,midsize
261,1.0,startup
262,0.0,enterprise
263,1.0,startup
264,1.0,startup
265,0.0,enterprise
266,1.0,startup
267,1.0,startup
268,1.0,startup
269,1.0,startup
270,1.0,startup
271,1.0,startup
272,1.0,startup
273,1.0,startup
274,0.0,midsize
275,0.0,midsize
276,0.0,midsize
277,1.0,startup
278,0.0,midsize
279,0.0,enterprise
280,0.0,enterprise
281,1.0,startup
282,1.0,startup
283,1.0,startup
284,1.0,startup
285,0.0,midsize
286,0.0,midsize
287,1.0,startup
288,0.0,midsize
289,0.0,midsize
290,1.0,startup
291,0.0,enterprise
292,1.0,startup
293,1.0,enterprise
294,1.0,startup
295,0.0,enterprise
296,0.0,enterprise
297,0.0,enterprise
298,0.0,enterprise
299,0.0,enterprise
300,0.0,midsize
